row_id,year,id,GDP（亿元）,地方一般公共预算支出（亿元）,环境保护支出（亿元）,占比
300,2016,海南,4053.2,1376.48,37.31,0.0271053702196908
301,2016,重庆,17740.59,4001.81,136.2,0.0340345993437969
302,2016,四川,32934.54,8008.89,166.35,0.0207706685945243
303,2016,贵州,11776.73,4262.36,127.09,0.0298168150977393
304,2016,云南,14788.42,5018.86,150.13,0.029913167532069
305,2016,西藏,1151.41,1587.98,33.05,0.0208126046927543
306,2016,陕西,19399.59,4389.37,126.79,0.0288856943023714
307,2016,甘肃,7200.37,3150.03,95.25,0.0302378072589785
308,2016,青海,2572.49,1524.8,73.41,0.048144018887723
309,2016,宁夏,3168.59,1254.54,36.69,0.0292457793294753
310,2016,新疆,9649.7,4138.25,65.07,0.0157240379387422
311,2017,北京,28014.94,6824.53,458.44,0.0671753219635638
312,2017,天津,18549.19,3282.54,110.22,0.0335776563271125
313,2017,河北,34016.32,6639.18,353.45,0.0532369961350649
314,2017,山西,15528.42,3756.42,128.87,0.0343066004333914
315,2017,内蒙古,16096.21,4529.93,143.67,0.031715721876497
316,2017,辽宁,23409.24,4879.42,106.53,0.0218325128806293
317,2017,吉林,14944.53,3725.72,115.12,0.0308987256154515
318,2017,黑龙江,15902.68,4641.08,193.2,0.0416282417023624
319,2017,上海,30632.99,7547.62,224.66,0.0297656744775174
320,2017,江苏,85869.76,10621.03,292.1,0.0275020407625249
321,2017,浙江,51768.26,7530.32,190.15,0.025251250942855
322,2017,安徽,27018.0,6203.81,198.64,0.0320190334649191
323,2017,福建,32182.09,4684.15,120.65,0.0257570743891635
324,2017,江西,20006.31,5111.47,143.4,0.0280545518216873
325,2017,山东,72634.15,9258.4,236.84,0.0255810939255163
326,2017,河南,44552.83,8215.52,241.65,0.0294138411202212
327,2017,湖北,35478.09,6801.26,139.71,0.0205417819639302
328,2017,湖南,33902.96,6869.39,173.28,0.0252249471932733
329,2017,广东,89705.23,15037.48,433.23,0.0288100133799014
330,2017,广西,18523.26,4908.55,85.11,0.0173391327377739
331,2017,海南,4462.54,1443.97,35.72,0.0247373560392529
332,2017,重庆,19424.73,4336.28,154.95,0.0357333936000443
333,2017,四川,36980.22,8694.76,197.75,0.0227435834916662
334,2017,贵州,13540.83,4612.52,125.39,0.0271847059741746
335,2017,云南,16376.34,5712.97,179.48,0.0314162335877836
336,2017,西藏,1310.92,1681.94,46.64,0.0277298833489899
337,2017,陕西,21898.81,4833.19,162.52,0.0336258247658379
338,2017,甘肃,7459.9,3304.44,102.2,0.0309280846376391
339,2017,青海,2624.83,1530.44,60.93,0.0398120801860903
340,2017,宁夏,3443.56,1372.78,57.61,0.0419659377321931
