row_id,地区,id,year,年末就业人数（万人）,固定资本存量,能源消耗总量(万吨标准煤),地区GDP（亿元）,工业废水（万吨）,工业二氧化硫（万吨）,一般工业固体废弃物（万吨）,id.1,year.1,规模报酬可变+全局,规模报酬可变+非全局,规模报酬不变+全局,规模报酬不变+非全局,id.2,year.2,规模报酬可变+全局.1,规模报酬可变+非全局.1,规模报酬不变+全局.1,规模报酬不变+非全局.1
84,贵州省,24,2013,1864.21,14078.6672907261,9299.0,8086.86,22898.0,77.8581,8194.0,24,2013,1.00469849252827,1.0337821466479,1.03151286606457,1.06450465014785,24,2013,0.991285806274379,1.05494500168078,1.06742384330454,1.12396292892468
85,云南省,25,2013,2835.0,24569.831220309,10072.0,11832.31,41844.0,61.2954,16040.0,25,2013,0.999037644683541,1.02962803445018,1.01583197375359,1.050537885824,25,2013,0.964001422190561,1.02584573513435,0.999749748616951,1.06455832178727
86,陕西省,26,2013,2090.0,29603.9040637421,10610.0,16205.45,34871.0,70.7146,7491.0,26,2013,1.00681022480402,1.0355969999768,1.02413175378817,1.05504496745747,26,2013,0.999107523158729,1.06256977282657,1.0416991178588,1.10553356225679
87,甘肃省,27,2013,1352.0,10910.8251760992,7287.0,6330.69,20171.0,47.2798,5907.0,27,2013,0.979837499189026,0.966466799545716,0.999713715091003,1.02035123818505,27,2013,0.959244411759736,0.964333698677926,0.998011328413109,1.0396752597222
88,青海省,28,2013,314.21,5610.67727701881,3768.0,2122.06,8395.0,13.0818,12377.0,28,2013,1.05705379910677,0.957028115877943,0.960782687157417,0.991202245101004,28,2013,0.906776752098603,0.909015907180701,0.92568763020058,0.985441993949987
89,宁夏回族自治区,29,2013,345.0,6546.24383393975,4781.0,2577.57,15708.0,36.8201,3277.0,29,2013,0.985386844132885,0.977862784604708,0.992980404595923,1.01481874492792,29,2013,0.968662223115252,0.975842513716414,0.989508741961393,1.04012841774417
90,新疆维吾尔自治区,30,2013,1260.0,17364.8222303591,13632.0,8443.84,34718.0,73.8566,9283.0,30,2013,0.942837845023103,0.959388822717983,0.964110799425267,0.982668845740323,30,2013,0.893591747925066,0.92856739971747,0.940467822665241,0.972910038923664
91,北京市,1,2014,1156.7,33072.1644598143,6831.0,21330.83,9174.0,4.0347,1021.0,1,2014,1.01487942006917,1.05717102185827,1.03306882069718,1.0375484655513,1,2014,1.03795412720661,1.10017033680294,1.1388798986422,1.17981039638982
92,天津市,2,2014,877.21,36620.0724274551,8145.0,15726.93,19011.0,19.5395,1735.0,2,2014,0.976618939463788,1.07448317985662,1.00375691440336,1.11393469045839,2,2014,0.945459739137257,1.28283936903264,1.04163568827443,1.8372080656984
93,河北省,3,2014,3978.0,61319.181311865,29320.0,29421.15,108562.0,104.7351,41928.0,3,2014,0.965557103601656,1.00874528368407,0.967237571327812,0.984553317004118,3,2014,0.917588529110437,1.1051309749988,0.932272644525171,0.997141853847617
94,山西省,4,2014,1842.0,28737.9118566531,19863.0,12761.49,49250.0,107.799,30199.0,4,2014,0.944295830193656,0.948367232956991,0.932921719563762,0.946848987692964,4,2014,0.848545972918403,0.876316888546455,0.843756291848355,0.889666525222967
95,内蒙古自治区,5,2014,1360.0,44873.4502662637,18309.0,17770.19,39325.0,116.7133,23191.0,5,2014,0.981573569866264,0.99202500782,0.988685563239522,1.00270986396892,5,2014,0.936307539583504,0.999424989052746,0.955461898383753,1.04155701862234
96,辽宁省,6,2014,2562.2,58886.1373410554,21803.0,28626.58,90631.0,92.6035,28666.0,6,2014,0.973566865146879,1.01818014939736,0.981360724142112,0.993525173827238,6,2014,0.965785260824575,1.24416281854782,1.00513647015386,1.07379570851677
97,吉林省,7,2014,1427.01,37224.6414368963,8560.0,13803.14,42192.0,31.9643,4944.0,7,2014,1.00200583123169,1.01538207914643,1.00918377213528,1.02748236930077,7,2014,1.04896420894461,1.13457918307154,1.09637198010795,1.19433994971232
98,黑龙江省,8,2014,1946.0,30533.3876862751,11955.0,15039.38,41984.0,31.748,6312.0,8,2014,0.981121715307959,0.993196736964202,0.973905158282423,0.99741540062567,8,2014,0.904729615792269,0.957538123090415,0.907527766355322,0.981179758662099
99,上海市,9,2014,1365.63,36571.9808649684,11085.0,23567.7,43939.0,15.536,1925.0,9,2014,0.972959325657923,0.813240658314895,0.999803605173093,0.600885273415706,9,2014,0.998275032091408,0.979817066878865,1.0559088904741,0.834592864456635
