row_id,year,id,GDP（亿元）,第一产业增加值（亿元）,第二产业增加值（亿元）,第三产业增加值（亿元）,第一产业占比,第二产业占比,第三产业占比,自2014年开始统计年鉴采用 一二三产业增加值
270,2009,重庆,6530.01,606.8,3448.77,2474.44,0.09292481941069,0.528141610809172,0.378933569780138,
271,2009,四川,14151.28,2240.61,6711.87,5198.8,0.158332673793466,0.474294198122007,0.367373128084527,
272,2009,贵州,3912.68,550.27,1476.62,1885.79,0.140637619227742,0.377393500107343,0.481968880664915,
273,2009,云南,6169.75,1067.6,2582.53,2519.62,0.173037805421614,0.418579358969164,0.408382835609222,
274,2009,西藏,441.36,63.88,136.63,240.85,0.1447344571325,0.309565887257568,0.545699655609933,
275,2009,陕西,8169.8,789.64,4236.42,3143.74,0.0966535288501554,0.518546353643908,0.384800117505936,
276,2009,甘肃,3387.56,497.05,1527.24,1363.27,0.146728028433445,0.450837771139109,0.402434200427446,
277,2009,青海,1081.27,107.4,575.33,398.54,0.0993276424944741,0.532087267749961,0.368585089755565,
278,2009,宁夏,1353.31,127.25,662.32,563.74,0.0940287147807967,0.489407452837857,0.416563832381346,
279,2009,新疆,4277.05,759.74,1929.59,1587.72,0.177631778913036,0.451149741059843,0.371218480027121,
280,2010,北京,14113.58,124.36,3388.38,10600.84,0.0088113717426762,0.240079412877526,0.751109215379797,
281,2010,天津,9224.46,145.58,4840.23,4238.65,0.0157819536319741,0.524716893997047,0.459501152370979,
282,2010,河北,20394.26,2562.81,10707.68,7123.77,0.125663299379335,0.525034004666019,0.349302695954646,
283,2010,山西,9200.86,554.48,5234.0,3412.38,0.0602639318498488,0.568859867447173,0.370876200702978,
284,2010,内蒙古,11672.0,1095.28,6367.69,4209.02,0.0938382453735435,0.545552604523646,0.360608293351611,
285,2010,辽宁,18457.27,1631.08,9976.82,6849.37,0.0883705986855044,0.54053605977482,0.371093341539675,
286,2010,吉林,8667.58,1050.15,4506.31,3111.12,0.121158385616285,0.51990405626484,0.358937558118875,
287,2010,黑龙江,10368.6,1302.9,5204.11,3861.59,0.125658237370523,0.501910576162645,0.372431186466833,
288,2010,上海,17165.98,114.15,7218.32,9833.51,0.00664978055432897,0.420501480253385,0.572848739192286,
289,2010,江苏,41425.48,2540.1,21753.93,17131.45,0.0613173341624527,0.525134047933784,0.413548617903764,
290,2010,浙江,27722.31,1360.56,14297.93,12063.82,0.0490781612354815,0.515755360934929,0.435166477829589,
291,2010,安徽,12359.33,1729.02,6436.62,4193.68,0.139895932870147,0.520790366468085,0.339312891556419,
292,2010,福建,14737.12,1363.67,7522.83,5850.62,0.092533005091904,0.510468124029661,0.396998870878435,
293,2010,江西,9451.26,1206.98,5122.88,3121.4,0.127705723892899,0.542031432845991,0.33026284326111,
294,2010,山东,39169.92,3588.28,21238.49,14343.14,0.0916080502589742,0.542214280754211,0.366177413688871,
295,2010,河南,23092.36,3258.09,13226.38,6607.89,0.141089520516742,0.572759995080624,0.286150484402634,
296,2010,湖北,15967.61,2147.0,7767.24,6053.37,0.134459696848808,0.486437231370255,0.379103071780936,
297,2010,湖南,16037.96,2325.5,7343.19,6369.27,0.144999738121307,0.457863094807569,0.397137167071124,
298,2010,广东,46013.06,2286.98,23014.53,20711.55,0.0497028452356787,0.500173863681311,0.45012329108301,
299,2010,广西,9569.85,1675.06,4511.68,3383.11,0.175035136391897,0.471447305861638,0.353517557746464,
300,2010,海南,2064.5,539.83,571.0,953.67,0.26148219907968,0.276580285783483,0.461937515136837,
301,2010,重庆,7925.58,685.38,4359.12,2881.08,0.0864769518445338,0.550006434860288,0.363516613295178,
302,2010,四川,17185.48,2482.89,8672.18,6030.41,0.144476034419754,0.504622506906994,0.350901458673252,
303,2010,贵州,4602.16,625.03,1800.06,2177.07,0.135812314217672,0.391133728510091,0.473053957272237,
304,2010,云南,7224.18,1108.38,3223.49,2892.31,0.153426409640956,0.446208427807723,0.400365162551321,
305,2010,西藏,507.46,68.72,163.92,274.82,0.135419540456391,0.323020533638119,0.54155992590549,
306,2010,陕西,10123.48,988.45,5446.1,3688.93,0.0976393493146626,0.537967181245975,0.364393469439363,
307,2010,甘肃,4120.75,599.28,1984.97,1536.5,0.145429836801553,0.481701146635928,0.372869016562519,
308,2010,青海,1350.43,134.92,744.63,470.88,0.0999089179002244,0.551402145983131,0.348688936116644,
309,2010,宁夏,1689.65,159.29,827.91,702.45,0.0942739620631492,0.489989050986891,0.41573698694996,
310,2010,新疆,5437.47,1078.63,2592.15,1766.69,0.198369830086419,0.476719871557912,0.324910298355669,
311,2011,北京,16251.93,136.27,3752.48,12363.18,0.0083848502916269,0.230894423000837,0.760720726707536,
312,2011,天津,11307.28,159.72,5928.32,5219.24,0.0141254130082566,0.524292314332006,0.461582272659738,
313,2011,河北,24515.76,2905.73,13126.86,8483.17,0.1185249814813,0.535445770394228,0.346029248124472,
314,2011,山西,11237.55,641.42,6635.26,3960.87,0.057078277738475,0.590454325008565,0.35246739725296,
