row_id,年度,地区,地区编号,人均国内生产总值(现价)(元/人),2000-2020年人均GDP（万元）
594,2019,内蒙古自治区,5,67852.13,
595,2019,辽宁省,6,57191.0,
596,2019,吉林省,7,43475.0,
597,2019,黑龙江省,8,36182.77,
598,2019,上海市,9,157279.0,
599,2019,江苏省,10,123607.0,
600,2019,浙江省,11,107623.61,
601,2019,安徽省,12,58495.57,
602,2019,福建省,13,107139.25,
603,2019,江西省,14,53164.0,
604,2019,山东省,15,70652.62,
605,2019,河南省,16,56387.84,
606,2019,湖北省,17,77386.54,
607,2019,湖南省,18,57540.26,
608,2019,广东省,19,94172.0,
609,2019,广西壮族自治区,20,42964.0,
610,2019,海南省,21,56506.83,
611,2019,重庆市,22,75828.0,
612,2019,四川省,23,55774.0,
613,2019,贵州省,24,46433.0,
614,2019,云南省,25,47944.0,
615,2019,西藏自治区,26,48902.0,
616,2019,陕西省,27,66649.02,
617,2019,甘肃省,28,32994.56,
618,2019,青海省,29,48981.46,
619,2019,宁夏回族自治区,30,54217.0,
620,2019,新疆维吾尔自治区,31,54280.0,
621,2020,北京市,1,164889.47,
622,2020,天津市,2,101614.21,
623,2020,河北省,3,48564.0,
624,2020,山西省,4,50527.92,
625,2020,内蒙古自治区,5,72062.35,
626,2020,辽宁省,6,58872.39,
627,2020,吉林省,7,50799.75,
628,2020,黑龙江省,8,42634.61,
629,2020,上海市,9,155768.08,
630,2020,江苏省,10,121230.95,
631,2020,浙江省,11,100620.32,
632,2020,安徽省,12,63426.47,
633,2020,福建省,13,105818.0,
634,2020,江西省,14,56871.06,
635,2020,山东省,15,72151.35,
636,2020,河南省,16,55435.01,
637,2020,湖北省,17,74440.47,
638,2020,湖南省,18,62900.25,
639,2020,广东省,19,88210.04,
640,2020,广西壮族自治区,20,44308.95,
641,2020,海南省,21,55130.94,
642,2020,重庆市,22,78170.36,
643,2020,四川省,23,58125.54,
644,2020,贵州省,24,46266.7,
645,2020,云南省,25,51975.2,
646,2020,西藏自治区,26,52344.98,
647,2020,陕西省,27,66291.58,
648,2020,甘肃省,28,35994.81,
649,2020,青海省,29,50818.6,
650,2020,宁夏回族自治区,30,54527.82,
651,2020,新疆维吾尔自治区,31,53593.24,
