row_id,admincode,region,zone,year,urb,gov,inno,edu,openpc,fin,dig,pri,inc,soc
946,500000,重庆,西部,1990,45.2108649035025,5.98763570566948,1.43807181249105,15.8187899374016,6268515.26851527,8.69189189189189,1.11708729830368,10.8810108810109,3414,18.0858678535639
947,500000,重庆,西部,1991,45.2108649035025,5.98763570566948,1.43807181249105,15.8187899374016,6268515.26851527,8.69189189189189,1.11708729830368,10.8810108810109,3414,18.0858678535639
948,500000,重庆,西部,1992,45.2108649035025,5.98763570566948,1.43807181249105,15.8187899374016,6268515.26851527,8.69189189189189,1.11708729830368,10.8810108810109,3414,18.0858678535639
949,500000,重庆,西部,1993,45.2108649035025,5.98763570566948,1.43807181249105,15.8187899374016,6268515.26851527,8.62379315987563,1.11708729830368,10.8810108810109,3414,18.0858678535639
950,500000,重庆,西部,1994,45.2108649035025,5.98763570566948,1.43807181249105,15.8187899374016,6268515.26851527,8.88915403889751,1.11708729830368,10.8810108810109,3414,18.0858678535639
951,500000,重庆,西部,1995,45.2108649035025,5.98763570566948,1.43807181249105,15.8187899374016,6268515.26851527,8.59720502388113,1.11708729830368,10.8810108810109,3414,18.0858678535639
952,500000,重庆,西部,1996,45.2108649035025,5.98763570566948,1.43807181249105,15.8187899374016,6268515.26851527,7.77291917973462,1.11708729830368,10.8810108810109,3414,18.0858678535639
953,500000,重庆,西部,1997,45.2108649035025,6.62230380908674,1.43807181249105,15.8187899374016,6268515.26851527,7.57228086278109,1.11708729830368,10.8810108810109,3414,18.0858678535639
954,500000,重庆,西部,1998,45.2108649035025,7.75147928994083,1.43807181249105,15.8187899374016,6268515.26851527,7.7292899408284,1.11708729830368,10.8810108810109,3414,18.0858678535639
955,500000,重庆,西部,1999,45.2108649035025,8.90152861713473,1.43807181249105,15.8187899374016,6268515.26851527,7.03874866690366,1.11708729830368,10.8810108810109,3414,18.0858678535639
956,500000,重庆,西部,2000,45.2108649035025,10.2980077932056,1.43807181249105,15.8187899374016,6268515.26851527,6.4266505680259,1.11708729830368,10.8810108810109,3414,18.0858678535639
957,500000,重庆,西部,2001,45.2108649035025,11.7914226149112,1.43807181249105,15.8187899374016,6482537.99929304,6.16499553261193,1.11708729830368,12.3718628490633,3920,18.0858678535639
958,500000,重庆,西部,2002,45.2108649035025,13.4160891306255,1.43807181249105,15.8187899374016,6371961.62046908,5.81191332573033,1.11708729830368,15.636105188344,4425,18.0858678535639
959,500000,重庆,西部,2003,45.2108649035025,13.0593362899526,1.43807181249105,15.8187899374016,9257081.69818052,5.5321914665851,1.11708729830368,19.621833749554,4931,18.0858678535639
960,500000,重庆,西部,2004,45.2108649035025,12.9341395652885,1.43807181249105,15.8187899374016,13810050.1253133,5.29498284033339,1.11708729830368,24.3465807375582,5436,18.0858678535639
961,500000,重庆,西部,2005,45.2108649035025,14.1326412249159,1.43807181249105,15.8187899374016,15342537.5268049,5.41120519661292,1.11708729830368,27.1622587562545,5942,18.0858678535639
962,500000,重庆,西部,2006,46.6880341880342,15.2360074866036,1.43807181249105,15.8187899374016,19478913.8176638,5.50726867164064,1.11708729830368,28.4900284900285,6632,18.0858678535639
963,500000,重庆,西部,2007,48.2954545454545,16.1064414027292,1.43807181249105,15.8187899374016,26413153.4090909,4.95315152912571,1.11708729830368,35.5113636363636,7520,18.0858678535639
964,500000,重庆,西部,2008,49.9823881648468,17.2219679633867,1.48915857127391,15.1081190145766,33537844.3113772,5.29536401389948,1.11708729830368,44.0295878830574,8756,16.9555417761636
