row_id,province,province_2,region,year,gdp,primary_industry,primary_industry_2,tertiary_industry,tertiary_industry_2,secondary_industry,secondary_industry_2,industrial_structure,industrial_structure_2
186,650000,新疆维吾尔自治区,新疆,2005,2520.49,485.57,19.3,907.81,36.0,1127.1,44.7,0.805438736580605,2.167
187,110000,北京市,北京,2006,8387.0,87.2,1.0,6227.7,74.3,2072.1,24.7,3.00550166497756,2.733
188,120000,天津市,天津,2006,3538.18,103.35,2.9,1600.3,45.2,1834.5,51.9,0.872335786317798,2.423
189,130000,河北省,河北,2006,10043.0,1401.8,14.0,3869.3,38.5,4771.9,47.5,0.810851023701251,2.245
190,140000,山西省,山西,2006,4713.6,256.41,5.4,1657.91,35.2,2799.28,59.4,0.592263010488411,2.298
191,150000,内蒙古自治区,内蒙古,2006,4161.75,634.94,15.2,1804.45,43.4,1722.36,41.4,1.04766134838245,2.282
192,210000,辽宁省,辽宁,2006,8390.34,908.57,10.83,3421.12,40.77,4060.65,48.4,0.842505510201569,2.2994
193,220000,吉林省,吉林,2006,3226.47,640.2,15.7,1489.08,39.5,1097.19,44.8,1.35717605884122,2.238
194,230000,黑龙江省,黑龙江,2006,5329.75,731.84,13.7,1599.9,30.0,2998.0,56.3,0.533655770513676,2.163
195,310000,上海市,上海,2006,10598.86,91.55,0.9,5578.2,52.6,4929.2,46.5,1.13166436744299,2.517
196,320000,江苏省,江苏,2006,21240.79,1468.3,6.91,7781.4,36.63,11991.1,56.45,0.648931290707275,2.297
197,330000,浙江省,浙江,2006,15302.68,913.16,6.0,6093.87,39.8,8295.66,54.2,0.734585313284296,2.338
198,340000,安徽省,安徽,2006,6500.31,1011.03,15.6,2836.11,43.6,2653.16,40.8,1.06895550965641,2.28
199,350000,福建省,福建,2006,7468.57,828.83,11.1,3010.06,40.3,3629.68,48.6,0.829290736373454,2.292
200,360000,江西省,江西,2006,4696.8,775.11,16.5,1584.1,33.73,2337.59,49.77,0.677663747705971,2.1723
201,370000,山东省,山东,2006,18967.8,2098.26,11.1,6301.05,33.2,10568.49,55.7,0.596211000814686,2.221
202,410000,河南省,河南,2006,11977.87,1869.82,15.61,3791.86,31.66,6316.19,52.73,0.600339761786773,2.1605
