row_id,admincode,region,zone,year,urir,rrd
358,460000,海南,东部,2022,2.098551,94.949495
359,460000,海南,东部,2023,2.060122,95.918367
360,460000,海南,东部,2024,2.000677,
361,420000,湖北,中部,2007,2.66464,51.764335
362,420000,湖北,中部,2008,2.598047,53.70607
363,420000,湖北,中部,2009,2.604136,56.943995
364,420000,湖北,中部,2010,2.492706,63.901423
365,420000,湖北,中部,2011,2.411538,68.131077
366,420000,湖北,中部,2012,2.403053,71.930473
367,420000,湖北,中部,2013,2.338836,76.648976
368,420000,湖北,中部,2014,2.290718,81.747573
369,420000,湖北,中部,2015,2.283941,87.824351
370,420000,湖北,中部,2016,2.309312,92.90402
371,420000,湖北,中部,2017,2.308789,99.029126
372,420000,湖北,中部,2018,2.300374,103.682842
373,420000,湖北,中部,2019,2.294003,111.27321
374,420000,湖北,中部,2020,2.251073,117.589118
375,420000,湖北,中部,2021,2.205926,122.683859
376,420000,湖北,中部,2022,2.162768,126.585956
377,420000,湖北,中部,2023,2.112901,131.994048
378,420000,湖北,中部,2024,2.080912,
379,430000,湖南,中部,2007,3.064586,44.159619
380,430000,湖南,中部,2008,2.971714,47.629369
381,430000,湖南,中部,2009,2.972444,49.711459
382,430000,湖南,中部,2010,2.841663,58.201342
383,430000,湖南,中部,2011,2.767439,60.51905
384,430000,湖南,中部,2012,2.763335,61.738149
385,430000,湖南,中部,2013,2.697087,63.22338
386,430000,湖南,中部,2014,2.641153,64.630892
387,430000,湖南,中部,2015,2.623306,66.758833
388,430000,湖南,中部,2016,2.622297,69.240587
389,430000,湖南,中部,2017,2.624304,72.325581
390,430000,湖南,中部,2018,2.603988,74.424991
391,430000,湖南,中部,2019,2.587983,76.566372
392,430000,湖南,中部,2020,2.5142,78.722628
393,430000,湖南,中部,2021,2.452364,80.697151
394,430000,湖南,中部,2022,2.419984,82.067913
395,430000,湖南,中部,2023,2.353759,84.280674
396,430000,湖南,中部,2024,2.307827,
397,620000,甘肃,西部,2007,4.163658,54.519119
398,620000,甘肃,西部,2008,3.884615,58.466077
399,620000,甘肃,西部,2009,3.848316,64.182692
400,620000,甘肃,西部,2010,3.688284,67.828746
401,620000,甘肃,西部,2011,3.671576,72.017489
402,620000,甘肃,西部,2012,3.646116,78.090967
403,620000,甘肃,西部,2013,3.555734,81.523179
404,620000,甘肃,西部,2014,3.473634,86.926762
405,620000,甘肃,西部,2015,3.426615,91.186923
406,620000,甘肃,西部,2016,3.445487,94.55482
407,620000,甘肃,西部,2017,3.437717,98.623853
408,620000,甘肃,西部,2018,3.402658,102.134387
409,620000,甘肃,西部,2019,3.356839,109.620049
410,620000,甘肃,西部,2020,3.269722,116.317992
411,620000,甘肃,西部,2021,3.165136,119.535284
412,620000,甘肃,西部,2022,3.088533,121.73532
413,620000,甘肃,西部,2023,3.033508,126.709207
414,620000,甘肃,西部,2024,2.966466,
415,350000,福建,东部,2007,2.609119,44.729345
416,350000,福建,东部,2008,2.643118,46.374269
417,350000,福建,东部,2009,2.650051,48.35966
418,350000,福建,东部,2010,2.629605,50.883838
419,350000,福建,东部,2011,2.543789,51.356467
420,350000,福建,东部,2012,2.523613,52.65515
421,350000,福建,东部,2013,2.47032,56.401838
422,350000,福建,东部,2014,2.428617,58.105404
423,350000,福建,东部,2015,2.412456,61.09215
424,350000,福建,东部,2016,2.401093,63.566434
425,350000,福建,东部,2017,2.387573,65.492451
